facility_id,country_name,facility_name,city,operational_status,year_operational,facility_type,control_category,control_rationale,hyperscaler_presence,chinese_role,operator_name,ownership_type,major_shareholders,controlling_entities,control_mechanisms,dfi_involvement,investment_usd,key_tenants,ultimate_parent_hq_country,ultimate_parent_company,control_confidence
BEN-002,Benin,Isocel Telecom Datacenter,Cotonou,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Benin),No,None identified,Isocel Telecom,Private domestic,"Robert Aouad (majority, Lebanese/Ghanaian descent, Benin resident)",Robert Aouad (majority shareholder and founder),Equity,"None identified (Bpifrance is national development bank, not DFI like IFC).",,,Benin,Robert Aouad (majority shareholder and founder),high
BFA-001,Burkina Faso,VIRTIX Data Center,Ouagadougou,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Burkina Faso),No,None identified,Virtual Technologies and Solutions SA (Virtix),Private domestic,Abdouramane Dia (CEO & Founder); other shareholders not publicly identified,Founder/CEO Abdouramane (Abdou) Dia (BurkinabÃ©),Equity,None identified,,,Burkina Faso,Founder/CEO Abdouramane (Abdou) Dia (BurkinabÃ©),high
BFA-002,Burkina Faso,ANPTIC Government Data Centre (Public Administration DC),Ouagadougou,Operational,,Government,African control,African ultimate parent (Burkina Faso),No,Construction/Equipment,ANPTIC (Agence Nationale de Promotion des TIC),Government / SOE,None (100% state-owned),Government of Burkina Faso,Equity,"None identified (World Bank supports separate digital projects like broadband, not these data centers)",,,Burkina Faso,Government of Burkina Faso,high
BFA-003,Burkina Faso,Burkina Faso Government Mini Data Centre 1,Ouagadougou,Operational,2026,Government,African control,African ultimate parent (Burkina Faso),No,Construction/Equipment,"Ministry of Digital Transition, Posts and Electronic Communications",Government / SOE,None (100% state-owned),Government of Burkina Faso,Equity,"None identified (World Bank supports separate digital projects like broadband, not these data centers)",29000000,Burkina Faso government ministries,Burkina Faso,Government of Burkina Faso,high
BFA-004,Burkina Faso,Burkina Faso Government Mini Data Centre 2,Ouagadougou,Operational,2026,Government,African control,African ultimate parent (Burkina Faso),No,Construction/Equipment,"Ministry of Digital Transition, Posts and Electronic Communications",Government / SOE,None (100% state-owned),Government of Burkina Faso,Equity,"None identified (World Bank supports separate digital projects like broadband, not these data centers)",,Burkina Faso government ministries,Burkina Faso,Government of Burkina Faso,high
BWA-001,Botswana,Sentlhaga Data Center,Gaborone,Operational,2022,Colocation/carrier-neutral,US control,Ultimate parent HQ: USA,No,Construction/Equipment,Botswana Telecommunications Corporation (BTC),Government / SOE,"Government of the Bahamas (49%), Cable & Wireless Communications (49% economic / 51% voting), National trust (2%)",Liberty Latin America,Equity,None identified,,Government agencies; enterprise clients,USA,Liberty Latin America,high
BWA-002,Botswana,Digital Delta Data Centre (DDDC),Gaborone,Operational,2025,Colocation/carrier-neutral,African control,African ultimate parent (Botswana),No,Construction/Equipment,Botswana Fibre Networks Ltd (BoFiNet),Government / SOE,Government of Botswana (100%),Government of Botswana,Equity,None identified,7300000,Government of Botswana; financial sector; private enterprise,Botswana,Government of Botswana,high
BWA-004,Botswana,Nashua NEST Data Centre,Gaborone,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (South Africa),No,None identified,Nashua Botswana (NEST),Private domestic,"Public Investment Corporation Ltd. (13.67%), Reunert Ltd. (13.16%), Ninety One SA Pty Ltd. (8.20%) ([MarketScreener](https://www.marketscreener.com/quote/stock/REUNERT-LIMITED-1413406/company-shareholders/))",Reunert Limited,Equity,None identified,,SMEs; enterprise,South Africa,Reunert Limited,high
CIV-002,Cote d'Ivoire,PAIX Abidjan ABJ-1,Abidjan,Operational,2021,Colocation/carrier-neutral,African control,African ultimate parent (Morocco),No,None identified,PAIX Data Centres,Private foreign,"No exact % available; Africa50 (major equity), Invest International, Series A privates; Africa50 top: African countries (undisclosed %)",Africa50 (lead investor),"Africa50 board: 12 directors (>=50% independent), shareholder-appointed; investment committees","Invest International (DGGF Dutch DFI, â‚¬2.75M loan); AfDB (Africa50 shareholder) [Invest Int](https://investinternational.nl/success-stories/connecting-africa-paix-boosts-essential-online-services/)",,Orange CI; MTN CI; ISPs; enterprises; content providers,Morocco,Africa50,high
CIV-003,Cote d'Ivoire,Raxio CIV1,Grand Bassam,Operational,2024,Colocation/carrier-neutral,Joint foreign (US/EU),"Roha Group (US, 48.5%) + Meridiam (France, 46.5%) joint control; US legal nexus present",No,None identified,Raxio Group,Private foreign,"Roha Group, Meridiam (exact % unknown; founding and primary equity investors)",,Equity,"Yes: IFC ($100M, 2025), Proparco ($40M+ part of $170M, 2023), EAIF/PIDG ($33M+ part of $170M, 2023) [IFC](https://disclosures.ifc.org/project-detail/AS-ESRS/48537/raxio-dc), [Proparco](https://www.proparco.fr/en/actualites/raxio-data-centres-speeds-africas-digital-transition-support-proparco), [EAIF](https://www.eaif.com/project/raxio-data-centres/)",,Government of CI (MoU Jun 2025); financial services; telecoms; ISPs; cloud providers,,None (privately held by Roha Group and Meridiam),high
CIV-006,Cote d'Ivoire,SNDI Government Data Centre,Abidjan,Operational,2012,Government,African control,African ultimate parent (Cote d'Ivoire),No,Construction/Equipment,Societe Nationale de Developpement Informatique (SNDI),Government / SOE,100% owned by the Republic of CÃ´te d'Ivoire,Republic of CÃ´te d'Ivoire (Government),Equity,Raxio Group (operator of CIV1 data centre in CÃ´te d'Ivoire) has IFC investment (~ part of $100M in group) [IFC Disclosures](https://disclosures.ifc.org/project-detail/SII/48537/raxio-dc); no direct involvement in ministry or National Data Center,,Government ministries and state institutions,Cote d'Ivoire,Republic of CÃ´te d'Ivoire (Government),high
CIV-008,Cote d'Ivoire,ST Digital Grand Bassam (STD Abidjan),Grand Bassam,Operational,2025,Colocation/carrier-neutral,African control,African ultimate parent (Cameroon / Nigeria / Cote d'Ivoire),No,None identified,ST Digital,Private domestic,"Anthony Same (% unknown); UHURU Investment Partners (minority stake, % unknown)",Anthony Same (Founder/CEO) / UHURU Investment Partners,Equity,"Yes, indirect - UHURU Growth Fund backed by IFC, US DFC, CDC Group (BII)",,Government; SMEs; enterprises; administrations,Cameroon / Nigeria / Cote d'Ivoire,Anthony Same (Founder/CEO) / UHURU Investment Partners,high
CIV-009,Cote d'Ivoire,Stellarix Abidjan ABJ1,Abidjan,Planned,,Colocation/carrier-neutral,African control,Hiridjee family (Madagascar) 100% control; Mauritius/Dubai holdcos are domicile only,No,Construction/Equipment,Stellarix (subsidiary of Axian Group),Private foreign,Hassanein Hiridjee (100% ultimate); AXIAN Telecom (80.8% direct),Hassanein Hiridjee / AXIAN Group,Board chaired by Hassanein Hiridjee; 7-member board with independents [AXIAN Investors](https://www.axian-telecom.com/investors/),"Yes: EIB, AfDB, IFC, BII, Proparco, DEG",,Financial institutions; MNOs; ISPs; carriers; hyperscalers; large enterprises,Madagascar / Mauritius / Dubai,AXIAN Group Limited (wholly owned by Hassanein Hiridjee),high
CMR-001,Cameroon,STD Douala (DLA01),Douala,Operational,2021,Colocation/carrier-neutral,African control,African ultimate parent (Cameroon),No,Construction/Equipment,ST Digital,Private domestic,"Anthony Same (founder/CEO, majority presumed); UHURU Investment Partners (minority stake via â‚¬10m investment)",ST Digital (Cameroon-based),Equity,"Indirect via UHURU Investment Partners (backed by BII/CDC Group [UK DFI], EIB [EU], DEG [German DFI])",,Camtel; Orange Cameroon; MTN Cameroon; enterprise clients,Cameroon,ST Digital (Cameroon-based),high
COD-003,DR Congo,GBSDC1 (Global Broadband Solution DC),Kinshasa,Operational,,Colocation/carrier-neutral,African control,DRC private company,No,None identified,Global Broadband Solution (GBS),Private domestic,No disclosed key shareholders,Unknown - no public information found,Equity,None found,,Enterprise; ISPs; mining sector; banking,,Unknown - no public information found,medium
COD-004,DR Congo,UNITED Kinshasa,Kinshasa,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (DR Congo),No,None identified,United S.A.,Private domestic,Three founding brothers (specific names and percentages not publicly available),Three brothers (names unknown),Equity,None found,,Enterprise; telecom providers; ISPs,DR Congo,Three brothers (names unknown),high
COG-001,Congo,ARPCE Data Center Brazzaville (2021),Brazzaville,Operational,2021,Government,African control,African ultimate parent (Republic of Congo),No,None identified,ARPCE (Agence de Regulation des Postes et Communications Electroniques),Government / SOE,None identified (100% state-owned),Government of Republic of Congo,Equity,African Development Bank (AfDB) provided â‚¬52.47M funding (~78% of â‚¬66.97M total project cost including fiber) [DCD](https://www.datacenterdynamics.com/en/news/african-development-bank-to-build-data-center-in-the-republic-of-congo/),,Government ministries; public sector entities,Republic of Congo,Government of Republic of Congo,high
COG-002,Congo,ARPCE Data Center Pointe-Noire (2Africa),Pointe-Noire,Operational,2024,Government,African control,African ultimate parent (Republic of Congo),No,None identified,ARPCE (Agence de Regulation des Postes et Communications Electroniques),Government / SOE,None identified (100% state-owned),Government of Republic of Congo,Equity,African Development Bank (AfDB) provided â‚¬52.47M funding (~78% of â‚¬66.97M total project cost including fiber) [DCD](https://www.datacenterdynamics.com/en/news/african-development-bank-to-build-data-center-in-the-republic-of-congo/),6300000,Government; ARPCE; 2Africa cable consortium,Republic of Congo,Government of Republic of Congo,high
COG-003,Congo,Congo National Data Center Brazzaville (AfDB/CAB),Brazzaville,Under construction,,Government,African control,African ultimate parent (Republic of Congo),No,None identified,TBD (delegated manager to be appointed post-completion),Multilateral / DFI,"Government of Republic of Congo (primary); African Development Bank (funder, no equity stake mentioned)",Government of Republic of Congo,Equity,African Development Bank (AfDB) provided â‚¬52.47M loan/grant of â‚¬66.55M total funding,72800000,Government ministries; telecom operators; banks; insurance companies,Republic of Congo,Government of Republic of Congo,high
COM-001,Comoros,Comoros Government Public Administration Data Centre,Moroni,Operational,2025,Government,African control,African ultimate parent (Comoros),No,Construction/Equipment,Ministry of Digital Economy (PPP operator TBD),PPP,State of Comoros (100% control via agencies),Government of the Union of the Comoros,Equity,AfDB funded separate data center project ($10.5M loan for new data center and incubator) [Techpoint](https://techpoint.africa/news/comoros-gets-funding-from-afdb/); World Bank supported Comores Cables creation [World Bank ICR](https://documents1.worldbank.org/curated/en/099082323102024792/pdf/P11821307cc1c003e0bf5709384bc41bafd.pdf),24900000,Government of Comoros MDAs; e-government services,Comoros,Government of the Union of the Comoros,high
CPV-001,Cape Verde,NOSi National Data Centre (TechPark CV Praia Campus),Praia,Operational,2014,Government,African control,African ultimate parent (Cabo Verde),No,Construction/Equipment,NOSi (Nucleo Operacional da Sociedade de Informacao),Government / SOE,State / Government of Cabo Verde (100%),Government of Cabo Verde,Equity,"Yes - AfDB: â‚¬45.5M+ loan for TechPark CV data centers (hosts government DC redundancy); World Bank: Digital Cabo Verde Project for government cloud expansion [AfDB](https://www.datacenterdynamics.com/en/news/cape-verde-receives-15-million-loan-for-two-data-centers/), [caboverdeexpert](https://www.caboverdeexpert.com/cabo-verde-digital-data-centers/), [World Bank](https://www.caboverdeexpert.com/cabo-verde-digital-operational-nucleus-for-the-information-society-nosi/)",,Government of Cabo Verde; Equatorial Guinea; Mozambique; Burkina Faso; Guinea-Bissau; Sao Tome,Cabo Verde,Government of Cabo Verde,high
CPV-002,Cape Verde,NOSi Disaster Recovery Data Centre (TechPark CV Mindelo Campus),Mindelo,Operational,2025,Government,African control,African ultimate parent (Cabo Verde),No,Construction/Equipment,NOSi (Nucleo Operacional da Sociedade de Informacao),Government / SOE,State / Government of Cabo Verde (100%),Government of Cabo Verde,Equity,"Yes - AfDB: â‚¬45.5M+ loan for TechPark CV data centers (hosts government DC redundancy); World Bank: Digital Cabo Verde Project for government cloud expansion [AfDB](https://www.datacenterdynamics.com/en/news/cape-verde-receives-15-million-loan-for-two-data-centers/), [caboverdeexpert](https://www.caboverdeexpert.com/cabo-verde-digital-data-centers/), [World Bank](https://www.caboverdeexpert.com/cabo-verde-digital-operational-nucleus-for-the-information-society-nosi/)",,Government of Cabo Verde secondary,Cabo Verde,Government of Cabo Verde,high
CPV-003,Cape Verde,CV Telecom Carrier-Neutral Datacenter,Praia,Operational,,Colocation/carrier-neutral,African control,African ultimate parent (Cabo Verde),No,Construction/Equipment,Cabo Verde Telecom SA (CVTelecom),Government / SOE,State / Government of Cabo Verde (100%),Government of Cabo Verde,Equity,"Yes - AfDB: â‚¬45.5M+ loan for TechPark CV data centers (hosts government DC redundancy); World Bank: Digital Cabo Verde Project for government cloud expansion [AfDB](https://www.datacenterdynamics.com/en/news/cape-verde-receives-15-million-loan-for-two-data-centers/), [caboverdeexpert](https://www.caboverdeexpert.com/cabo-verde-digital-data-centers/), [World Bank](https://www.caboverdeexpert.com/cabo-verde-digital-operational-nucleus-for-the-information-society-nosi/)",,Carriers; ISPs; content providers,Cabo Verde,Government of Cabo Verde,high
DJI-004,Djibouti,PAIX Djibouti Data Center,Djibouti City,Under construction,2026,Colocation/carrier-neutral,African control,African ultimate parent (Morocco),No,None identified,PAIX Data Centres / Fonds Souverain de Djibouti,Joint venture (majority foreign),"No exact % available; Africa50 (major equity), Invest International, Series A privates; Africa50 top: African countries (undisclosed %)",Africa50 (lead investor),"Africa50 board: 12 directors (>=50% independent), shareholder-appointed; investment committees","Invest International (DGGF Dutch DFI, â‚¬2.75M loan); AfDB (Africa50 shareholder) [Invest Int](https://investinternational.nl/success-stories/connecting-africa-paix-boosts-essential-online-services/)",50000000,Cloud providers; ISPs; CDN; financial institutions,Morocco,Africa50,high
ETH-003,Ethiopia,RedFox Modular Data Centre 1 (RFETH-MDC01),Addis Ababa,Operational,2022,Colocation/carrier-neutral,African control,African ultimate parent (Ethiopia),No,None identified,RedFox Solutions Group,Private domestic,"Unnamed Ethiopian-US diaspora professionals (e.g., CEO Adane Kassaye, CTO Dagmawe Theodros); nationalities Ethiopian/US",Ethiopian diaspora founders (unnamed group of ~10 professionals),Equity,None identified,130000000,ArifPay; OrbitHealth; Zemen Bank,Ethiopia,Ethiopian diaspora founders (unnamed group of ~10 professionals),high
ETH-004,Ethiopia,Ethio Telecom Modular Data Centre (Gola Sefer),Addis Ababa,Operational,2021,Enterprise,African control,African ultimate parent (Ethiopia),No,Construction/Equipment,Ethio Telecom,Government / SOE,"Ethiopian Investment Holdings / Government of Ethiopia (~90%); ~47,000 retail Ethiopian investors (~1%)",Government of Ethiopia (via EIH),Equity,Indirect: IFC/BII funded competitor Safaricom Ethiopia; IFC advised sector opening. No direct equity/funding in Ethio Telecom,,Zemen Bank; Rays Micro Finance; ZamZam Bank; Hijira Bank; Websprix; Amhara Bank,Ethiopia,Government of Ethiopia (via EIH),high
ETH-007,Ethiopia,Bitdeer Oromia (Geek Zone Data Centre PLC),Holeta,Operational,2024,Colocation/carrier-neutral,Other foreign control,Ultimate parent HQ: Singapore,No,Construction/Equipment,Bitdeer Technologies Group / Geek Zone Data Centre PLC,Joint venture (majority foreign),"Tether Holdings (21.6%), Zhao Feng Zhao (10.1%), Hu Yishuo Family (5.7%), Jihan Wu (2.6% direct + controlling Class A shares), institutional investors ~22% (BlackRock, Barclays, etc.) [MarketScreener](https://www.marketscreener.com/quote/stock/BITDEER-TECHNOLOGIES-GROU-153541576/company-shareholders/), [Simply Wall St](https://simplywall.st/stocks/us/software/nasdaq-btdr/bitdeer-technologies-group/ownership)",Bitdeer Technologies Group (publicly listed),Equity,"None identified (no mentions of IFC, US DFC, BII, AfDB investments/funding).",7500000,,Singapore,Bitdeer Technologies Group (publicly listed),high
ETH-008,Ethiopia,Sun Data World Data Centre,Addis Ababa,Operational,,Colocation/carrier-neutral,Joint/contested,Mixed parent geography: Germany  / Ethiopia ,No,None identified,Sun Data World (ScutiX),Private domestic,"Unknown specific names; Uros Ignjacevic (GM, likely key stakeholder, Serbian); listed as German investor","Private founders/shareholders, possibly German-registered; managed by Uros Ignjacevic (Serbian entrepreneur)",Equity,None identified,,,Germany  / Ethiopia ,"Private founders/shareholders, possibly German-registered; managed by Uros Ignjacevic (Serbian entrepreneur)",low
ETH-010,Ethiopia,Ethiopian National Data Centre (cloud.gov.et),Addis Ababa,Operational,,Government,African control,African ultimate parent (Ethiopia),No,Construction/Equipment,Ministry of Innovation and Technology (MInT),Government / SOE,"Ethiopian Investment Holdings (~90%); 47,000+ retail Ethiopian investors (~10%)","Ethiopian Investment Holdings (EIH), state-owned holding company",Equity,"None in ownership; AfDB in financing discussions for digital projects; DFIs (IFC, DFC, BII) invested in competitor Safaricom Ethiopia",,Government agencies; Universities; Banks; Telcos,Ethiopia,"Ethiopian Investment Holdings (EIH), state-owned holding company",high
ETH-011,Ethiopia,Ethio Telecom Hyperscale Data Centre (planned),Addis Ababa,Planned,,Hyperscale,African control,African ultimate parent (Ethiopia),No,Construction/Equipment,Ethio Telecom,Government / SOE,"Ethiopian Investment Holdings / Government of Ethiopia (~90%); ~47,000 retail Ethiopian investors (~1%)",Government of Ethiopia (via EIH),Equity,Indirect: IFC/BII funded competitor Safaricom Ethiopia; IFC advised sector opening. No direct equity/funding in Ethio Telecom,,,Ethiopia,Government of Ethiopia (via EIH),high
ETH-012,Ethiopia,Ministry of Foreign Affairs Data Centre (RailTel),Addis Ababa,Under construction,,Government,African control,African ultimate parent (Ethiopia),No,None identified,RailTel Corporation of India / Ministry of Foreign Affairs Ethiopia,PPP,100% owned by Government of Ethiopia,Government of the Federal Democratic Republic of Ethiopia,Equity,None identified,2200000,Ministry of Foreign Affairs of Ethiopia,Ethiopia,Government of the Federal Democratic Republic of Ethiopia,high
GAB-001,Gabon,ST Digital Datacenter Gabon (Nkok SEZ),Libreville,Under construction,,Colocation/carrier-neutral,African control,African ultimate parent (Cameroon),No,Construction/Equipment,ST Digital,Private foreign,"Anthony Same (founder/CEO, majority presumed); UHURU Investment Partners (minority stake via â‚¬10m investment)",ST Digital (Cameroon-based),Equity,"Indirect via UHURU Investment Partners (backed by BII/CDC Group [UK DFI], EIB [EU], DEG [German DFI])",,Government of Gabon; finance; healthcare; education,Cameroon,ST Digital (Cameroon-based),high
GAB-002,Gabon,Cybastion National Sovereign Data Center,Libreville,Under construction,,Government,African control,"State-owned (Govt CIV / ANINF Gabon); Cybastion Inc (US) is contracted operator — operational dependency, not ownership",No,Construction/Equipment,Cybastion / ANINF,PPP,Not disclosed (private LLC),,Equity,"US EXIM $100M+ financing guarantees for CÃ´te d'Ivoire projects under CTEP (2025); no IFC, DFC, BII, AfDB found [[EXIM](https://www.cybastiontech.com/release-exim-backed-deal-unlocks-capital-de-risks-u-s-entry-to-africas-digital-markets/)]",,Government of Gabon; public sector; enterprises,,None identified (independent private LLC),medium
GHA-003,Ghana,PAIX Accra (ACC-1),Accra,Operational,2013,Colocation/carrier-neutral,African control,African ultimate parent (Morocco),No,None identified,PAIX Data Centres,Joint venture (majority domestic),"No exact % available; Africa50 (major equity), Invest International, Series A privates; Africa50 top: African countries (undisclosed %)",Africa50 (lead investor),"Africa50 board: 12 directors (>=50% independent), shareholder-appointed; investment committees","Invest International (DGGF Dutch DFI, â‚¬2.75M loan); AfDB (Africa50 shareholder) [Invest Int](https://investinternational.nl/success-stories/connecting-africa-paix-boosts-essential-online-services/)",20000000,ISPs; Cloud providers; Enterprises; Government agencies,Morocco,Africa50,high
GHA-005,Ghana,NITA National Data Centre,Accra,Operational,2014,Government,African control,African ultimate parent (Ghana),No,Construction/Equipment,National Information Technology Agency (NITA),Government / SOE,Government of Ghana (100%),Republic of Ghana,Equity,None found for government data centres (DFC funding private ADC project),,Government ministries; agencies; SOEs; ISPs,Ghana,Republic of Ghana,high
GHA-009,Ghana,K-Net Ghana (Roman Ridge),Accra,Operational,,Enterprise,African control,African ultimate parent (Ghana),No,None identified,K-Net Ghana,Private domestic,"Richard Hlomador (Ghanaian, founder/CEO); other shareholders not publicly disclosed",Founder-led private company; primary owner likely Richard Hlomador (Ghanaian),Equity,None identified,,ISPs; Enterprise; Government,Ghana,Founder-led private company; primary owner likely Richard Hlomador (Ghanaian),high
GHA-011,Ghana,Agility Logistics Park Ghana (Tema DC Campus),Tema,Planned,,Hyperscale,Other foreign control,"Agility, Kuwait",No,Construction/Equipment,Agility Logistics Parks (ALP),Private foreign,National Real Estate Co 22.34%; PIFSS 16.44%; treasury 4.63%; institutions ~17% ([MarketScreener](https://www.marketscreener.com/quote/stock/AGILITY-PUBLIC-WAREHOUSIN-45455796/company-shareholders/)),"None (public company, dispersed ownership)",Equity,None identified,,Hyperscalers; Cloud providers; Wholesale colocation,,"None (public company, dispersed ownership)",high
GIN-001,Guinea,GUILAB Data Centre,Conakry,Operational,2016,Colocation/carrier-neutral,African control,African ultimate parent (Guinea),No,Construction/Equipment,GUILAB SA,Private domestic,"Guinean Government (52.55%, Guinea); Orange GuinÃ©e (26.25%, France); Areeba GuinÃ©e (7.20%, Guinea post-2024 nationalization); ETI (5.09%, Guinea); Cellcom GuinÃ©e (2.55%, Guinea); Mouna Group Technology (2.55%, Guinea); Intercel (1.27%, ?); Skyvision GuinÃ©e (1.27%, ?); VDC Telecom (1.27%, ?)[Wikipedia](https://en.wikipedia.org/wiki/Guin%C3%A9enne_de_Large_Bande)",Guinean Government (majority owner at 52.55%),Equity,Historical: World Bank $25M grant via WARCIP for ACE participation[Wikipedia](https://en.wikipedia.org/wiki/Guin%C3%A9enne_de_Large_Bande); IFC notes potential equity opportunities but no direct investment[IFC CPSD](https://www.ifc.org/content/dam/ifc/doc/mgrt/cpsd-guinea.pdf),,,Guinea,Guinean Government (majority owner at 52.55%),high
GIN-002,Guinea,Guinea National Tier III Data Centre,Conakry,Operational,2025,Government,African control,African ultimate parent (Guinea),No,None identified,Ministry of Posts; Telecommunications and Digital Economy (Guinea),Government / SOE,No private shareholders identified; fully state-owned national infrastructure ([Ecofin Agency](https://www.ecofinagency.com/news-digital/0409-48427-guinea-opens-tier-3-national-data-center-to-strengthen-digital-transition)),Government of Guinea,Equity,None found,,Government of Guinea ministries,Guinea,Government of Guinea,high
GMB-001,Gambia,Gamtel Kairaba Exchange Data Centre,Serrekunda,Operational,,Enterprise,African control,African ultimate parent (Gambia),No,Construction/Equipment,Gamtel (Gambia Telecommunications Company),Government / SOE,"Government of The Gambia (99% of Gamtel), Gambia Ports Authority (1% of Gamtel)",Government of The Gambia,Equity,"None identified for data centre (DFC funded Africell mobile, not Gamtel)",,Government of Gambia; ISPs; SMBs,Gambia,Government of The Gambia,high
KEN-008,Kenya,PAIX Nairobi NBO-1,Nairobi,Operational,2021,Colocation/carrier-neutral,African control,African ultimate parent (Morocco),No,None identified,PAIX Data Centres,Private foreign,"No exact % available; Africa50 (major equity), Invest International, Series A privates; Africa50 top: African countries (undisclosed %)",Africa50 (lead investor),"Africa50 board: 12 directors (>=50% independent), shareholder-appointed; investment committees","Invest International (DGGF Dutch DFI, â‚¬2.75M loan); AfDB (Africa50 shareholder) [Invest Int](https://investinternational.nl/success-stories/connecting-africa-paix-boosts-essential-online-services/)",,Financial institutions; content networks; broadcasters; e-commerce,Morocco,Africa50,high
KEN-018,Kenya,Telkom Kenya Data Centre Nairobi (Milimani),Nairobi,Operational,2010,Colocation/carrier-neutral,Other foreign control,Ultimate parent HQ: UAE,No,Construction/Equipment,Telkom Kenya,Private domestic,"Infrastructure Corporation of Africa LLC (ICA, 60%), Government of Kenya (40%)",Infrastructure Corporation of Africa LLC (ICA),Equity,Historical advisory: IFC advised on 2007 privatization to Orange and related financing/restructuring. IFC invested in Helios fund (2016). No current direct investments or involvement found.,,Telkom Kenya clients; enterprises; ISPs,UAE,Infrastructure Corporation of Africa LLC (ICA),high
